,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,xSec(AN),Lumi (using AN),,,  
,,,,,,,,,,,,,
,,ZZTo4L,ZZTo4L_TuneCP5_13TeV_powheg_pythia8,99388000,1.325e+00 +- 1.220e-03,1.3250,75009811.3208,,1.325,75009811.3208,,,
,,,,,,,,,,,,,
,VVV processes,,,,,,,,,,,,
,WWW,Inclusive,WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8,171000,2.158e-01 +- 2.479e-0,0.2158,792400.3707,,,,,,
,WWZ,Inclusive,WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8,178000,1.707e-01 +- 1.757e-04,0.1707,1042765.0849,,,,,,
,WZZ,Inclusive,WZZ_TuneCP5_13TeV-amcatnlo-pythia8,298000,5.709e-02 +- 6.213e-05,0.0571,5219828.3412,,,,,,
,ZZZ,Inclusive,ZZZ_TuneCP5_13TeV-amcatnlo-pythia8,178000,1.476e-02 +- 1.075e-05,0.0148,12059620.5962,,,,,,
,,,,,,,,,,,,,
,Higgs processes,,,,,,,,,,,,
,Higgs,bbH_HToZZTo4L,bbH_HToZZTo4L_M125_TuneCP2_13TeV-jhugenv7011-pythia8,492928,1.000e+00 +- 1.000e+14,0.0001303,3783023791.2510,,0.0001303,3783023791.2510,,,
,,GluGluHToZZTo4L,GluGluHToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8,998000,2.887e+01 +- 2.027e-02,0.0000328,30463980463.9805,,0.0000328,30463980463.9805,,,
,,GluGluToZH,GluGluToZH_HToZZTo4L_M125_TuneCP5_13TeV-jhugenv723-pythia8,971094,4.889e-06 +- 4.889e+08,0.0129700,74872320.7402,,0.0129700,74872320.7402,,,
,,GluGluZH,GluGluZH_HToWW_ZTo2L_M-125_TuneCP5_13TeV-powheg-pythia8,9429970,6.185e-03 +- 6.763e-06 ,0.0026480,3561166918.4290,,0.0026480,3561166918.4290,,,
,,ttHToNonbb,ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,5070989,5.013e-01 +- 1.171e-02,0.2118000,23942346.5534,,0.2118000,23942346.5534,,,
,,VBF_HToZZTo4L,VBF_HToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8,499000,3.935e+00 +- 1.774e-02,0.0010100,494059405.9406,,0.0010100,494059405.9406,,,
,,VHToNonbb,VHToNonbb_M125_TuneCP5_13TeV-amcatnloFXFX_madspin_pythia8,869559,2.512e+00 +- 1.716e-02,0.0917700,9475416.8029,,0.0917700,9475416.8029,,,
