,2018_UL,,,,,,,,,,
,,,,,,,,,,,
,Data,,,,,,,,,,
,Sample,Subsample,DAS,nEvtTotal,Lumi (pb-1),Original nEvt,Missing data (%),,,,
,SingleMuon,SingleMuon_A,/SingleMuon/Run2018A-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,241608232,,241608232  ,0.0000,,,,
,,SingleMuon_B,/SingleMuon/Run2018B-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,119918017,,119918017  ,0.0000,,,,
,,SingleMuon_C,/SingleMuon/Run2018C-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,109986009,,109986009  ,0.0000,,Color codes,,
,,SingleMuon_D,/SingleMuon/Run2018D-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,513909894,,513909894  ,0.0000,,,Not enough luminosity,
,EGamma,EGamma_A,/EGamma/Run2018A-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,339013231,,339013231  ,0.0000,,,Very wrong xsec,
,,EGamma_B,/EGamma/Run2018B-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,153792795,,153792795  ,0.0000,,,Under process,
,,EGamma_C,/EGamma/Run2018C-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,147827904,,147827904  ,0.0000,,,Highlighted comments,
,,EGamma_D,/EGamma/Run2018D-UL2018_MiniAODv2_NanoAODv9-v3/NANOAOD,751683150,,751683150  ,0.0000,,,Using values from AN,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,,
,/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1*/NANOAODSIM,,,,,,,,Numbers from Angira's AN,,
,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,xSec(AN),Lumi (using AN),
,,,,,,,,,,,
,,ZZTo2Q2L,ZZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8,29357938,3.703e+00 +- 2.972e-02,3.7030,7928149.6084,,3.688,7960395.3362,
,,ZZTo2Q2Nu,ZZTo2Q2Nu_TuneCP5_13TeV-amcatnloFXFX-pythia8,19813764,4.498e+00 +- 2.169e-02,4.4980,4405016.4518,,,,
,,ZZTo4L,ZZTo4L_TuneCP5_13TeV_powheg_pythia8,98488000,1.325e+00 +- 1.220e-03,1.3250,74330566.0377,,1.325,74330566.0377,
,,,,,,,,,,,
,VVV processes,,,,,,,,,,
,WWW,Inclusive,WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8,240000,2.158e-01 +- 2.479e-0,0.2158,1112140.8712,,,,
,WWZ,Inclusive,WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8,248000,1.707e-01 +- 1.757e-04,0.1707,1452841.2419,,,,
,WZZ,Inclusive,WZZ_TuneCP5_13TeV-amcatnlo-pythia8,300000,5.709e-02 +- 6.213e-05,0.0571,5254860.7462,,,,
,ZZZ,Inclusive,ZZZ_TuneCP5_13TeV-amcatnlo-pythia8,250000,1.476e-02 +- 1.075e-05,0.0148,16937669.3767,,,,
,,,,,,,,,,,
,Higgs processes,,,,,,,,,,
,Higgs,bbH_HToZZTo4L,bbH_HToZZTo4L_M125_TuneCP2_13TeV-jhugenv7011-pythia8,460400,1.000e+00 +- 1.000e+14,0.0001303,3533384497.3139,,0.0001303,3533384497.3139,
,,GluGluHToZZTo4L,GluGluHToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8,940000,2.887e+01 +- 2.027e-02,0.0000328,28693528693.5287,,0.0000328,28693528693.5287,
,,GluGluToZH,GluGluToZH_HToZZTo4L_M125_TuneCP5_13TeV-jhugenv723-pythia8,979940,4.889e-06 +- 4.889e+08,0.0129700,75554356.2066,,0.0129700,75554356.2066,
