,Run3Summer22,,,,,,,,,,,,
,Samples are ordered according to their importance,,,,,,,,,,,,
,,,,,,,,,,,,,
,Data,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,,,,,,
,,,,,,,,,,,,,
,Muon_C,/Muon/Run2022C-ReRecoNanoAODv11-v1/NANOAOD,138018846  ,5010.4000,,,,,,,,,
,Muon_D,/Muon/Run2022D-ReRecoNanoAODv11-v1/NANOAOD,75494657  ,2970.0000,,,,,,,,,
,,,,,,,,,,,,,
,EGamma_C,/EGamma/Run2022C-ReRecoNanoAODv11-v1/NANOAOD,263336263  ,5010.4000,262258077,,,,,,,,
,EGamma_D,/EGamma/Run2022D-ReRecoNanoAODv11-v1/NANOAOD,88530905  ,2970.0000,,,,,,,,,
,,,Total,7980.4000,,,,,,,,,
,,,,,,,,,,,,,
,,Golden JSON = https://cms-service-dqmdc.web.cern.ch/CAF/certification/Collisions22/Cert_Collisions2022_355100_362760_Golden.json,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),Comments/Source,,,Color codes,
,,,,,,,,,,,,,Not enough events
,Single W production,,,,,,,,,,,,Issues to check
,VVV_WZZ,/WZZ_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,6.206e-02 +- 3.689e-05,0.0621,1987058,11336,0.570,32018337.093,,,,,
,VVV_ZZZ,/ZZZ_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,1.591e-02 +- 7.828e-06,0.0159,1970234,3682,0.187,123836203.646,,,,,
,,,,,,,,,,,,,
,Higgs,,,,,,,,,,,,
,Higgs_GGHHto2B,/GluGluHto2B_M-125_TuneCP5_13p6TeV_powheg-minlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.020e+01 +- 6.029e-03,30.2000,3718000,29,0.001,123112.583,,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/LHCHWG136TeVxsec,,,
,Higgs_GGHHto2C,/GluGluHto2C_M-125_TuneCP5_13p6TeV_powheg-minlo-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.020e+01 +- 6.029e-03,30.2000,4371062,2,0.000,144737.152,,,,,
,Higgs_GGHHto2W,/GluGluHto2Wto2L2Nu_M-125_TuneCP5_13p6TeV_powheg-jhugen752-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,2.312e+01 +- 3.963e-03,1.1800,1494981,578,0.039,1266933.051,arXiv:2406.05101 ,,,,
,Higgs_GGHHtoZZ,/GluGluHtoZZto4L_M-125_TuneCP5_13p6TeV_powheg2-JHUGenV752-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,2.316e+01 +- 5.606e-03,0.0140,431809,14138,3.274,30843500.000,arXiv:2406.05101 ,,,,
,Higgs_VBFHto2B,/VBFHto2B_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,4.180e+00 +- 6.886e-03,4.1800,3330700,58,0.002,796818.182,,,,,
,Higgs_VBFHto2C,/VBFHto2C_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v3/NANOAODSIM,4.180e+00 +- 6.886e-03,4.1800,4348092,11,0.000,1040213.397,,,,,
,Higgs_VBFHto2W,/VBFHto2Wto2L2Nu_M-125_TuneCP5_13p6TeV_powheg-jhugen752-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,4.201e+00 +- 6.109e-03,0.0930,1497840,1099,0.073,16105806.452,arXiv:2406.05101 ,,,,
